film_id,film_rating
"1040	","	7.4"
"1041	","	7.4"
"1042	","	7.4"
"1043	","	7.3"
"1044	","	7.8"
"1045	","	7.5"
"1046	","	8.1"
"1047	","	7.6"
"1048	","	7.6"
"1049	","	7.7"
"1050	","	7.9"
"1051	","	7.3"
"1052	","	7.9"
"1053	","	6.4"
"1054	",
"1055	","	6.8"
"1056	","	8.1"
"1057	","	7.8"
"1058	","	7.8"
"1059	","	7.8"
"1060	","	7.4"
"1061	","	7.7"
"1062	","	7.7"
"1063	","	7"
"1064	","	7.4"
"1065	","	8"
"1066	","	7.6"
"1067	","	7.3"
"1068	","	7.2"
"1069	","	6.8"
"1070	","	7.7"
"1071	","	7.7"
"1072	","	7.5"
"1073	","	8.1"
"1074	","	7.2"
"1075	","	7.6"
"1076	","	7.6"
"1077	","	7.3"
"1078	","	7.1"
"1079	","	7.5"
"1080	","	7.6"
"1081	","	7.7"
"1082	","	6.9"
"1083	","	7.6"
"1084	","	7.7"
"1085	","	7.4"
"1086	","	7"
"1087	","	6.9"
"1088	","	6.6"
"1089	","	7.7"
"1090	","	7.5"
"1091	","	7.2"
"1092	","	7.1"
"1093	","	7.6"
"1094	","	7.4"
"1095	","	7.7"
"1096	","	7.3"
"1097	","	0"
"1098	","	5"
"1099	","	6.8"
"1100	","	3.5"
"1101	","	5.4"
"1102	","	6.2"
"1103	","	0"
"1104	","	7"
"1105	","	6.2"
"1106	","	3.6"
"1107	",
"1108	","	6.2"
"1109	","	7.2"
"1110	","	4.1"
"1111	","	4"
"1112	","	3.5"
"1113	","	2.8"
"1114	","	5.9"
"1115	","	6.2"
"1116	","	2.7"
"1117	","	5.8"
"1118	","	5.8"
"1119	","	5.8"
"1120	","	6.2"
"1121	","	7.3"
"1122	","	6.2"
"1123	","	4.9"
"1124	","	5.6"
"1125	","	6.8"
"1126	","	7.1"
"1127	","	7.4"
"1128	","	6.6"
"1129	","	6.2"
"1130	","	7"
"1131	","	7.2"
"1132	","	7"
"1133	","	6"
"1134	","	7.2"
"1135	","	8.5"
"1136	","	7.2"
"1137	","	5.5"
"1138	","	5.6"
"1139	","	6.5"
"1140	","	6.2"
"1141	","	7"
"1142	","	7.3"
"1143	","	7.4"
"1144	","	5.5"
"1145	","	7.9"
"1146	","	5.4"
"1147	","	7.4"
"1148	","	6.7"
"1149	","	5.6"
"1150	","	6.6"
"1151	","	6.2"
"1152	","	6.7"
"1153	","	5.6"
"1154	","	7.3"
"1155	","	6.4"
"1156	","	6.9"
"1157	","	6.6"
"1158	","	6.6"
"1159	","	6.3"
"1160	","	7.2"
"1161	","	4.9"
"1162	","	5.6"
"1163	","	3.9"
"1164	","	6"
"1165	","	6.1"
"1166	","	7.1"
"1167	","	7.5"
"1168	","	5.9"
"1169	","	4.2"
"1170	","	6.3"
"1171	","	6.1"
"1172	","	6.8"
"1173	","	6.7"
"1174	","	7.2"
"1175	","	6.8"
"1176	","	6.7"
"1177	","	7.3"
"1178	","	6"
